,ID_SIR_TMJ,X_DEPART,X_FIN,Y_DEPART,Y_FIN,Z_DEPART,Z_FIN,AXE,CUMULD,CUMULF,PLOD,ABSD,PLOF,ABSF,TYPE_CPT,SENS,LIBELLE,LOCALISATI,COMMUNE,CODEINSEE,CATEGORIE,ROUTE,PLOC,ABSC,CUMULC,LATITUDE,LONGITUDE,DERNANCPT,ANNEE_N,MJATVTCJN,MJAPLTCJN,MJAPPLTCJN,COTE,EMPLACEMEN,VOIE,DISTANCE
120,742,342389.5174,342028.322,6853043.8068,6852376.0819,0.0,0.0,D201,20860,21597,20,861,21,553,Temporaire,3,D355 - D76,CANCALE,CANCALE,35049,B,35 D201,21,0,0,48.6771507,-1.8617925,2021,2021,5849,197,3.36,,,0,
121,738,331133.6093,331486.323,6846907.9414,6848082.4801,0.0,0.0,D201,0,1358,0,0,1,182,Permanent,3,D168 - N137,D201.ST.SERVAN,SAINT-MALO,35288,D,35 D201,0,230,0,48.6190476,-2.0042636,2021,2021,11355,266,2.35,,,0,
122,704,358679.4554,356837.9549,6805246.1004,6799298.8941,0.0,0.0,D175,29723,36446,29,935,36,537,Temporaire,3,D106 - D25,ST AUBIN D'AUBIGNE,SAINT-AUBIN-D'AUBIGNE,35251,A,35 D175,32,900,0,48.2363089,-1.6214659,2021,2021,12444,544,4.37,,,0,
123,705,356837.9549,356258.7019,6799298.8941,6793951.9063,0.0,0.0,D175,36446,41912,36,537,42,13,Permanent,3,Betton - Rennes,D175_EX.ON,BETTON,35024,A,35 D175,41,360,0,48.16109,-1.62623,2021,2021,15389,1034,6.72,,,0,
124,700,369284.8687,367395.3948,6825817.298,6818098.8218,0.0,0.0,D175,4690,12890,4,767,12,832,Permanent,3,Antrain - Rennes,D175.TREMBLAY,TREMBLAY,35341,A,35 D175,6,745,0,48.43182,-1.47396,2021,2021,2600,245,9.44,,,0,
125,710,392955.2565,390148.9972,6820915.711,6815502.039,0.0,0.0,D177,11931,18070,11,891,18,34,Temporaire,3,D19 - D108,LANDEAN,LANDEAN,35142,B,35 D177,14,0,0,48.4028419,-1.1577832,2021,2021,6137,379,6.17,,,0,
126,716,332156.5726,330966.9735,6757807.9124,6753293.5755,0.0,0.0,D177,54939,59748,60,173,65,0,Permanent,3,Rennes - Redon,D177_PIPRIAC,PIPRIAC,35219,A,35 D177,65,0,59748,47.7756169,-1.9314989,2021,2021,7237,707,9.76,,,0,
127,714,341011.8477,338021.2123,6775068.9499,6769305.2656,0.0,0.0,D177,34427,41248,39,767,46,528,Permanent,3,D38 - D48,D177_GUICHEN,GUICHEN,35126,A,35 D177,43,160,0,47.94769,-1.8236,2021,2021,15330,1550,10.11,,,0,
128,713,344379.8176,341011.8477,6780239.5406,6775068.9499,0.0,0.0,D177,27639,34427,33,75,39,767,Permanent,3,Rennes - Redon,D177_GOVEN,GOVEN,35123,A,35 D177,36,320,0,48.0077999,-1.8066183,2021,2021,23700,1534,6.47,,,0,
129,711,349949.215,347818.4689,6787171.2064,6783434.8895,0.0,0.0,D177,18070,22569,18,34,27,1029,Permanent,3,Rennes - Redon,D177_08.OE_1,SAINT-JACQUES-DE-LA-LANDE,35281,A,35 D177,26,912,0,48.06275,-1.71942,2021,2021,23963,1408,5.87,,,0,
130,719,320242.0874,321332.007,6743077.4114,6740898.453,0.0,0.0,D177,75824,78347,80,846,83,542,Permanent,3,Gir177 - Dép44,D177_REDON,REDON,35236,A,35 D177,82,500,0,47.6636493,-2.0542903,2021,2021,10113,1112,11.0,,,0,
